batch,topic,index,model,api,response_1,response_2
28,Fashion & Beauty,173,llama-2-70b-hf,completion,b,b
88,Sports & Fitness,174,llama-2-70b-hf,completion,b,b
11,Careers & Employment,175,llama-2-70b-hf,completion,a,a
32,Food & Culinary,176,llama-2-70b-hf,completion,a,a
50,Hobbies & Leisure,177,llama-2-70b-hf,completion,a,b
89,Travel & Tourism,178,llama-2-70b-hf,completion,a,b
25,Entertainment,179,llama-2-70b-hf,completion,b,b
55,Law & Legal Issues,180,llama-2-70b-hf,completion,a,b
14,Careers & Employment,181,llama-2-70b-hf,completion,a,b
52,Law & Legal Issues,182,llama-2-70b-hf,completion,b,a
40,Healthcare & Medicine,183,llama-2-70b-hf,completion,a,b
76,Science & Technology,184,llama-2-70b-hf,completion,a,b
22,Entertainment,185,llama-2-70b-hf,completion,b,b
25,Entertainment,186,llama-2-70b-hf,completion,b,b
32,Food & Culinary,187,llama-2-70b-hf,completion,a,a
49,Hobbies & Leisure,188,llama-2-70b-hf,completion,a,b
65,Politics & Governance,189,llama-2-70b-hf,completion,a,a
41,History & Archaeology,190,llama-2-70b-hf,completion,a,a
41,History & Archaeology,191,llama-2-70b-hf,completion,b,a
38,Healthcare & Medicine,192,llama-2-70b-hf,completion,b,b
51,Hobbies & Leisure,193,llama-2-70b-hf,completion,b,a
52,Law & Legal Issues,194,llama-2-70b-hf,completion,a,b
21,Entertainment,195,llama-2-70b-hf,completion,a,a
43,History & Archaeology,196,llama-2-70b-hf,completion,b,b
64,Politics & Governance,197,llama-2-70b-hf,completion,a,b
83,Social Issues & Ethics,198,llama-2-70b-hf,completion,b,b
81,Social Issues & Ethics,199,llama-2-70b-hf,completion,b,a
91,Travel & Tourism,200,llama-2-70b-hf,completion,a,b
16,Education & Learning,201,llama-2-70b-hf,completion,a,b
51,Hobbies & Leisure,202,llama-2-70b-hf,completion,b,b
65,Politics & Governance,203,llama-2-70b-hf,completion,b,b
62,Politics & Governance,204,llama-2-70b-hf,completion,b,b
76,Science & Technology,205,llama-2-70b-hf,completion,a,a
9,Business & Finance,206,llama-2-70b-hf,completion,b,a
68,Psychology & Sociology,207,llama-2-70b-hf,completion,a,b
49,Hobbies & Leisure,208,llama-2-70b-hf,completion,a,a
93,Travel & Tourism,209,llama-2-70b-hf,completion,a,b
37,Healthcare & Medicine,210,llama-2-70b-hf,completion,b,a
1,Art & Design,211,llama-2-70b-hf,completion,a,b
23,Entertainment,212,llama-2-70b-hf,completion,b,b
20,Education & Learning,213,llama-2-70b-hf,completion,a,b
23,Entertainment,214,llama-2-70b-hf,completion,b,a
64,Politics & Governance,215,llama-2-70b-hf,completion,a,b
8,Business & Finance,216,llama-2-70b-hf,completion,b,b
7,Business & Finance,217,llama-2-70b-hf,completion,b,b
3,Art & Design,218,llama-2-70b-hf,completion,b,a
23,Entertainment,219,llama-2-70b-hf,completion,a,b
56,Law & Legal Issues,220,llama-2-70b-hf,completion,b,a
34,Food & Culinary,221,llama-2-70b-hf,completion,a,a
85,Sports & Fitness,222,llama-2-70b-hf,completion,b,a
29,Fashion & Beauty,223,llama-2-70b-hf,completion,b,a
4,Art & Design,224,llama-2-70b-hf,completion,a,a
82,Social Issues & Ethics,225,llama-2-70b-hf,completion,b,a
30,Fashion & Beauty,226,llama-2-70b-hf,completion,b,a
67,Psychology & Sociology,227,llama-2-70b-hf,completion,a,b
61,Philosophy & Religion,228,llama-2-70b-hf,completion,b,a
4,Art & Design,229,llama-2-70b-hf,completion,a,b
5,Art & Design,230,llama-2-70b-hf,completion,a,b
71,Psychology & Sociology,231,llama-2-70b-hf,completion,b,b
73,Science & Technology,232,llama-2-70b-hf,completion,a,b
29,Fashion & Beauty,233,llama-2-70b-hf,completion,b,a
10,Business & Finance,234,llama-2-70b-hf,completion,a,b
5,Art & Design,235,llama-2-70b-hf,completion,a,a
30,Fashion & Beauty,236,llama-2-70b-hf,completion,a,b
26,Fashion & Beauty,237,llama-2-70b-hf,completion,b,b
40,Healthcare & Medicine,238,llama-2-70b-hf,completion,b,a
90,Travel & Tourism,239,llama-2-70b-hf,completion,b,a
55,Law & Legal Issues,240,llama-2-70b-hf,completion,a,a
62,Politics & Governance,241,llama-2-70b-hf,completion,a,b
49,Hobbies & Leisure,242,llama-2-70b-hf,completion,a,b
44,History & Archaeology,243,llama-2-70b-hf,completion,b,a
73,Science & Technology,244,llama-2-70b-hf,completion,b,a
9,Business & Finance,245,llama-2-70b-hf,completion,a,b
46,History & Archaeology,246,llama-2-70b-hf,completion,a,a
25,Entertainment,247,llama-2-70b-hf,completion,b,a
4,Art & Design,248,llama-2-70b-hf,completion,b,a
82,Social Issues & Ethics,249,llama-2-70b-hf,completion,a,a
11,Careers & Employment,250,llama-2-70b-hf,completion,a,a
74,Science & Technology,251,llama-2-70b-hf,completion,a,a
20,Education & Learning,252,llama-2-70b-hf,completion,b,b
24,Entertainment,253,llama-2-70b-hf,completion,b,a
89,Travel & Tourism,254,llama-2-70b-hf,completion,a,a
31,Food & Culinary,255,llama-2-70b-hf,completion,a,b
13,Careers & Employment,256,llama-2-70b-hf,completion,a,b
86,Sports & Fitness,257,llama-2-70b-hf,completion,b,b
84,Sports & Fitness,258,llama-2-70b-hf,completion,a,b
57,Philosophy & Religion,259,llama-2-70b-hf,completion,a,b
40,Healthcare & Medicine,260,llama-2-70b-hf,completion,a,a
87,Sports & Fitness,261,llama-2-70b-hf,completion,b,a
65,Politics & Governance,262,llama-2-70b-hf,completion,a,a
45,History & Archaeology,263,llama-2-70b-hf,completion,a,a
74,Science & Technology,264,llama-2-70b-hf,completion,b,b
78,Science & Technology,265,llama-2-70b-hf,completion,a,a
58,Philosophy & Religion,266,llama-2-70b-hf,completion,a,b
82,Social Issues & Ethics,267,llama-2-70b-hf,completion,a,b
47,Hobbies & Leisure,268,llama-2-70b-hf,completion,a,b
39,Healthcare & Medicine,269,llama-2-70b-hf,completion,a,a
88,Sports & Fitness,270,llama-2-70b-hf,completion,b,a
21,Entertainment,271,llama-2-70b-hf,completion,b,b
59,Philosophy & Religion,272,llama-2-70b-hf,completion,a,a
56,Law & Legal Issues,273,llama-2-70b-hf,completion,a,a
47,Hobbies & Leisure,274,llama-2-70b-hf,completion,b,b
53,Law & Legal Issues,275,llama-2-70b-hf,completion,b,a
48,Hobbies & Leisure,276,llama-2-70b-hf,completion,b,b
12,Careers & Employment,277,llama-2-70b-hf,completion,a,b
52,Law & Legal Issues,278,llama-2-70b-hf,completion,a,b
53,Law & Legal Issues,279,llama-2-70b-hf,completion,a,a
66,Politics & Governance,280,llama-2-70b-hf,completion,a,b
91,Travel & Tourism,281,llama-2-70b-hf,completion,a,a
31,Food & Culinary,282,llama-2-70b-hf,completion,a,b
92,Travel & Tourism,283,llama-2-70b-hf,completion,b,a
93,Travel & Tourism,284,llama-2-70b-hf,completion,b,b
74,Science & Technology,285,llama-2-70b-hf,completion,b,a
7,Business & Finance,286,llama-2-70b-hf,completion,a,b
70,Psychology & Sociology,287,llama-2-70b-hf,completion,a,b
13,Careers & Employment,288,llama-2-70b-hf,completion,b,a
41,History & Archaeology,289,llama-2-70b-hf,completion,a,b
66,Politics & Governance,290,llama-2-70b-hf,completion,b,a
17,Education & Learning,291,llama-2-70b-hf,completion,a,b
51,Hobbies & Leisure,292,llama-2-70b-hf,completion,b,b
79,Social Issues & Ethics,293,llama-2-70b-hf,completion,b,b
1,Art & Design,294,llama-2-70b-hf,completion,a,b
50,Hobbies & Leisure,295,llama-2-70b-hf,completion,b,a
33,Food & Culinary,296,llama-2-70b-hf,completion,b,b
85,Sports & Fitness,297,llama-2-70b-hf,completion,b,a
83,Social Issues & Ethics,298,llama-2-70b-hf,completion,b,a
73,Science & Technology,299,llama-2-70b-hf,completion,a,b
20,Education & Learning,300,llama-2-70b-hf,completion,a,b
71,Psychology & Sociology,301,llama-2-70b-hf,completion,b,a
35,Food & Culinary,302,llama-2-70b-hf,completion,b,a
19,Education & Learning,303,llama-2-70b-hf,completion,a,b
55,Law & Legal Issues,304,llama-2-70b-hf,completion,a,b
9,Business & Finance,305,llama-2-70b-hf,completion,a,a
78,Science & Technology,306,llama-2-70b-hf,completion,b,a
83,Social Issues & Ethics,307,llama-2-70b-hf,completion,a,a
9,Business & Finance,308,llama-2-70b-hf,completion,b,a
12,Careers & Employment,309,llama-2-70b-hf,completion,a,b
41,History & Archaeology,310,llama-2-70b-hf,completion,a,a
73,Science & Technology,311,llama-2-70b-hf,completion,a,a
42,History & Archaeology,312,llama-2-70b-hf,completion,a,a
28,Fashion & Beauty,313,llama-2-70b-hf,completion,a,b
18,Education & Learning,314,llama-2-70b-hf,completion,b,a
7,Business & Finance,315,llama-2-70b-hf,completion,a,b
58,Philosophy & Religion,316,llama-2-70b-hf,completion,b,a
13,Careers & Employment,317,llama-2-70b-hf,completion,a,b
89,Travel & Tourism,318,llama-2-70b-hf,completion,a,b
15,Careers & Employment,319,llama-2-70b-hf,completion,a,b
44,History & Archaeology,320,llama-2-70b-hf,completion,b,b
27,Fashion & Beauty,321,llama-2-70b-hf,completion,b,a
43,History & Archaeology,322,llama-2-70b-hf,completion,b,a
84,Sports & Fitness,323,llama-2-70b-hf,completion,a,b
74,Science & Technology,324,llama-2-70b-hf,completion,b,b
79,Social Issues & Ethics,325,llama-2-70b-hf,completion,a,a
45,History & Archaeology,326,llama-2-70b-hf,completion,b,a
78,Science & Technology,327,llama-2-70b-hf,completion,b,a
30,Fashion & Beauty,328,llama-2-70b-hf,completion,a,b
20,Education & Learning,329,llama-2-70b-hf,completion,a,b
40,Healthcare & Medicine,330,llama-2-70b-hf,completion,a,b
18,Education & Learning,331,llama-2-70b-hf,completion,b,a
34,Food & Culinary,332,llama-2-70b-hf,completion,a,b
85,Sports & Fitness,333,llama-2-70b-hf,completion,b,a
20,Education & Learning,334,llama-2-70b-hf,completion,a,b
61,Philosophy & Religion,335,llama-2-70b-hf,completion,a,b
4,Art & Design,336,llama-2-70b-hf,completion,b,b
19,Education & Learning,337,llama-2-70b-hf,completion,b,b
3,Art & Design,338,llama-2-70b-hf,completion,a,b
8,Business & Finance,339,llama-2-70b-hf,completion,b,a
79,Social Issues & Ethics,340,llama-2-70b-hf,completion,a,b
26,Fashion & Beauty,341,llama-2-70b-hf,completion,b,b
64,Politics & Governance,342,llama-2-70b-hf,completion,b,b
42,History & Archaeology,343,llama-2-70b-hf,completion,b,a
16,Education & Learning,344,llama-2-70b-hf,completion,a,b
73,Science & Technology,345,llama-2-70b-hf,completion,a,b
67,Psychology & Sociology,346,llama-2-70b-hf,completion,b,b
9,Business & Finance,347,llama-2-70b-hf,completion,a,a
80,Social Issues & Ethics,348,llama-2-70b-hf,completion,a,b
62,Politics & Governance,349,llama-2-70b-hf,completion,b,b
58,Philosophy & Religion,350,llama-2-70b-hf,completion,a,b
39,Healthcare & Medicine,351,llama-2-70b-hf,completion,a,b
70,Psychology & Sociology,352,llama-2-70b-hf,completion,a,b
9,Business & Finance,353,llama-2-70b-hf,completion,a,a
10,Business & Finance,354,llama-2-70b-hf,completion,a,a
1,Art & Design,355,llama-2-70b-hf,completion,b,b
31,Food & Culinary,356,llama-2-70b-hf,completion,a,b
43,History & Archaeology,357,llama-2-70b-hf,completion,b,a
61,Philosophy & Religion,358,llama-2-70b-hf,completion,a,a
50,Hobbies & Leisure,359,llama-2-70b-hf,completion,b,a
8,Business & Finance,360,llama-2-70b-hf,completion,b,b
24,Entertainment,361,llama-2-70b-hf,completion,b,a
33,Food & Culinary,362,llama-2-70b-hf,completion,a,b
17,Education & Learning,363,llama-2-70b-hf,completion,a,b
22,Entertainment,364,llama-2-70b-hf,completion,b,a
34,Food & Culinary,365,llama-2-70b-hf,completion,a,a
63,Politics & Governance,366,llama-2-70b-hf,completion,a,a
37,Healthcare & Medicine,367,llama-2-70b-hf,completion,a,b
77,Science & Technology,368,llama-2-70b-hf,completion,b,b
89,Travel & Tourism,369,llama-2-70b-hf,completion,a,b
59,Philosophy & Religion,370,llama-2-70b-hf,completion,a,b
46,History & Archaeology,371,llama-2-70b-hf,completion,a,b
15,Careers & Employment,372,llama-2-70b-hf,completion,b,a
16,Education & Learning,373,llama-2-70b-hf,completion,a,b
90,Travel & Tourism,374,llama-2-70b-hf,completion,b,a
56,Law & Legal Issues,375,llama-2-70b-hf,completion,b,a
7,Business & Finance,376,llama-2-70b-hf,completion,a,a
87,Sports & Fitness,377,llama-2-70b-hf,completion,b,a
10,Business & Finance,378,llama-2-70b-hf,completion,a,b
34,Food & Culinary,379,llama-2-70b-hf,completion,b,a
54,Law & Legal Issues,380,llama-2-70b-hf,completion,a,a
33,Food & Culinary,381,llama-2-70b-hf,completion,a,a
20,Education & Learning,382,llama-2-70b-hf,completion,a,b
54,Law & Legal Issues,383,llama-2-70b-hf,completion,b,b
91,Travel & Tourism,384,llama-2-70b-hf,completion,b,b
48,Hobbies & Leisure,385,llama-2-70b-hf,completion,b,a
4,Art & Design,386,llama-2-70b-hf,completion,b,a
68,Psychology & Sociology,387,llama-2-70b-hf,completion,b,a
35,Food & Culinary,388,llama-2-70b-hf,completion,b,b
80,Social Issues & Ethics,389,llama-2-70b-hf,completion,b,a
3,Art & Design,390,llama-2-70b-hf,completion,a,b
22,Entertainment,391,llama-2-70b-hf,completion,a,b
60,Philosophy & Religion,392,llama-2-70b-hf,completion,b,a
93,Travel & Tourism,393,llama-2-70b-hf,completion,a,b
75,Science & Technology,394,llama-2-70b-hf,completion,a,a
77,Science & Technology,395,llama-2-70b-hf,completion,b,b
2,Art & Design,396,llama-2-70b-hf,completion,a,b
73,Science & Technology,397,llama-2-70b-hf,completion,a,b
92,Travel & Tourism,398,llama-2-70b-hf,completion,a,a
49,Hobbies & Leisure,399,llama-2-70b-hf,completion,b,a
2,Art & Design,400,llama-2-70b-hf,completion,b,b
12,Careers & Employment,401,llama-2-70b-hf,completion,a,b
81,Social Issues & Ethics,402,llama-2-70b-hf,completion,b,a
26,Fashion & Beauty,403,llama-2-70b-hf,completion,b,a
17,Education & Learning,404,llama-2-70b-hf,completion,a,a
59,Philosophy & Religion,405,llama-2-70b-hf,completion,b,a
39,Healthcare & Medicine,406,llama-2-70b-hf,completion,a,b
86,Sports & Fitness,407,llama-2-70b-hf,completion,b,b
34,Food & Culinary,408,llama-2-70b-hf,completion,a,b
31,Food & Culinary,409,llama-2-70b-hf,completion,b,b
76,Science & Technology,410,llama-2-70b-hf,completion,a,b
58,Philosophy & Religion,411,llama-2-70b-hf,completion,a,b
14,Careers & Employment,412,llama-2-70b-hf,completion,b,b
28,Fashion & Beauty,413,llama-2-70b-hf,completion,a,b
75,Science & Technology,414,llama-2-70b-hf,completion,a,b
87,Sports & Fitness,415,llama-2-70b-hf,completion,b,b
92,Travel & Tourism,416,llama-2-70b-hf,completion,b,a
88,Sports & Fitness,417,llama-2-70b-hf,completion,b,a
35,Food & Culinary,418,llama-2-70b-hf,completion,a,a
60,Philosophy & Religion,419,llama-2-70b-hf,completion,a,a
52,Law & Legal Issues,420,llama-2-70b-hf,completion,b,a
3,Art & Design,421,llama-2-70b-hf,completion,a,b
32,Food & Culinary,422,llama-2-70b-hf,completion,a,a
57,Philosophy & Religion,423,llama-2-70b-hf,completion,a,b
1,Art & Design,424,llama-2-70b-hf,completion,b,a
15,Careers & Employment,425,llama-2-70b-hf,completion,a,a
39,Healthcare & Medicine,426,llama-2-70b-hf,completion,a,b
45,History & Archaeology,427,llama-2-70b-hf,completion,a,a
50,Hobbies & Leisure,428,llama-2-70b-hf,completion,a,b
6,Business & Finance,429,llama-2-70b-hf,completion,b,b
20,Education & Learning,430,llama-2-70b-hf,completion,a,a
62,Politics & Governance,431,llama-2-70b-hf,completion,a,b
81,Social Issues & Ethics,432,llama-2-70b-hf,completion,a,a
18,Education & Learning,433,llama-2-70b-hf,completion,b,b
72,Psychology & Sociology,434,llama-2-70b-hf,completion,a,a
76,Science & Technology,435,llama-2-70b-hf,completion,b,b
32,Food & Culinary,436,llama-2-70b-hf,completion,a,b
34,Food & Culinary,437,llama-2-70b-hf,completion,a,b
27,Fashion & Beauty,438,llama-2-70b-hf,completion,a,b
53,Law & Legal Issues,439,llama-2-70b-hf,completion,b,a
46,History & Archaeology,440,llama-2-70b-hf,completion,a,a
30,Fashion & Beauty,441,llama-2-70b-hf,completion,a,b
46,History & Archaeology,442,llama-2-70b-hf,completion,a,a
37,Healthcare & Medicine,443,llama-2-70b-hf,completion,b,a
13,Careers & Employment,444,llama-2-70b-hf,completion,a,a
15,Careers & Employment,445,llama-2-70b-hf,completion,b,a
25,Entertainment,446,llama-2-70b-hf,completion,b,a
35,Food & Culinary,447,llama-2-70b-hf,completion,a,a
38,Healthcare & Medicine,448,llama-2-70b-hf,completion,a,b
84,Sports & Fitness,449,llama-2-70b-hf,completion,a,b
92,Travel & Tourism,450,llama-2-70b-hf,completion,a,b
92,Travel & Tourism,451,llama-2-70b-hf,completion,a,a
84,Sports & Fitness,452,llama-2-70b-hf,completion,a,b
33,Food & Culinary,453,llama-2-70b-hf,completion,b,b
20,Education & Learning,454,llama-2-70b-hf,completion,a,a
19,Education & Learning,455,llama-2-70b-hf,completion,a,b
59,Philosophy & Religion,456,llama-2-70b-hf,completion,a,a
