batch,topic,index,sample,model,api,response_1,logprobs_1a,logprobs_1b,response_2,logprobs_2a,logprobs_2b
91,Travel & Tourism,737,105,gpt-4,chat,a,-0.0007880675,,a,-0.0924186,-2.5258846
9,Business & Finance,271,106,gpt-4,chat,a,-0.023470944,-3.792388,a,-0.13037083,-2.1195753
22,Entertainment,349,107,gpt-4,chat,b,,-0.0055729793,b,,-0.0010850901
13,Careers & Employment,396,108,gpt-4,chat,a,-7.314626e-05,,a,-0.00012201976,
9,Business & Finance,182,109,gpt-4,chat,b,,-0.007830904,b,,-0.005603323
65,Politics & Governance,685,110,gpt-4,chat,a,-0.00026968008,,a,-0.0004518838,
32,Food & Culinary,166,111,gpt-4,chat,b,-3.4106224,-0.055033486,b,,-0.003871212
71,Psychology & Sociology,265,112,gpt-4,chat,a,-1.7432603e-06,-13.312502,a,-0.0013752339,
57,Philosophy & Religion,104,113,gpt-4,chat,a,-0.0030521005,,b,,-0.0004546255
33,Food & Culinary,97,114,gpt-4,chat,a,-0.00039194638,,b,,-0.0077797063
53,Law & Legal Issues,44,115,gpt-4,chat,a,-0.00012047011,,a,-0.00044914213,
65,Politics & Governance,668,116,gpt-4,chat,a,-0.00023381444,,a,-0.008301793,
27,Fashion & Beauty,25,117,gpt-4,chat,a,-0.010340046,,a,-0.009817835,
68,Psychology & Sociology,583,118,gpt-4,chat,a,-0.0066622007,,a,-0.034935717,
6,Business & Finance,405,119,gpt-4,chat,b,,-0.01071375,b,,-0.0024137038
62,Politics & Governance,48,120,gpt-4,chat,a,-0.0002162915,,a,-0.00010342398,
28,Fashion & Beauty,149,121,gpt-4,chat,a,-0.48873693,,b,,-0.2718196
37,Healthcare & Medicine,386,122,gpt-4,chat,a,-0.0008790658,,a,-0.0044332054,
88,Sports & Fitness,232,123,gpt-4,chat,b,,-0.006275844,b,,-0.005120023
87,Sports & Fitness,225,124,gpt-4,chat,a,-0.022482058,,a,-0.14715073,
81,Social Issues & Ethics,523,125,gpt-4,chat,a,-0.14479226,,b,,-0.30791467
38,Healthcare & Medicine,528,126,gpt-4,chat,b,,-0.0065027974,b,-11.375011,-1.1517961e-05
6,Business & Finance,412,127,gpt-4,chat,a,-0.0004074355,,a,-0.001701841,
4,Art & Design,334,128,gpt-4,chat,a,-0.012999623,,a,-0.016311068,
83,Social Issues & Ethics,170,129,gpt-4,chat,a,-0.24420853,-2.0384743,a,-0.0057952395,
60,Philosophy & Religion,336,130,gpt-4,chat,a,-0.0006791924,,a,-0.0007592422,
44,History & Archaeology,447,131,gpt-4,chat,a,-0.00057376316,,a,-0.0003277176,
7,Business & Finance,455,132,gpt-4,chat,a,-0.00023309923,,a,-0.0005725711,
4,Art & Design,190,133,gpt-4,chat,a,-0.0019408922,,a,-0.0074899695,
45,History & Archaeology,366,134,gpt-4,chat,a,-0.007244653,-5.042134,b,,-0.0035814187
7,Business & Finance,183,135,gpt-4,chat,a,-0.0268069,,a,-0.00056852185,
87,Sports & Fitness,139,136,gpt-4,chat,a,-0.00028898742,,a,-4.8471098e-05,
76,Science & Technology,157,137,gpt-4,chat,a,-0.0013745186,,a,-0.0003029306,
6,Business & Finance,744,138,gpt-4,chat,a,-0.0088577755,,a,-0.05848213,-3.0584822
14,Careers & Employment,506,139,gpt-4,chat,a,-0.00019007038,,a,-7.6364755e-05,
70,Psychology & Sociology,592,140,gpt-4,chat,a,-0.16859147,-2.3841333,b,,-0.02228832
3,Art & Design,667,141,gpt-4,chat,a,-0.00019007038,,a,-0.0032219219,
13,Careers & Employment,720,142,gpt-4,chat,a,-3.5358695e-05,,a,-8.061054e-06,
21,Entertainment,675,143,gpt-4,chat,a,-0.00037907605,,a,-0.025628805,
44,History & Archaeology,697,144,gpt-4,chat,a,-0.0020166673,,a,-0.0050775683,
52,Law & Legal Issues,539,145,gpt-4,chat,a,-0.00019889144,,a,-0.0010840173,
10,Business & Finance,140,146,gpt-4,chat,a,-0.006322763,,a,-0.0013111939,
59,Philosophy & Religion,514,147,gpt-4,chat,a,-0.08213631,,a,-0.020851212,
59,Philosophy & Religion,384,148,gpt-4,chat,a,-3.5313153e-06,-12.562504,b,,-0.039805178
42,History & Archaeology,287,149,gpt-4,chat,b,,-0.00014811802,b,,-0.00014585316
87,Sports & Fitness,319,150,gpt-4,chat,b,,-0.11542294,b,-13.937501,-9.0883464e-07
1,Art & Design,174,151,gpt-4,chat,a,-4.3941356e-05,,a,-0.0021458585,
41,History & Archaeology,524,152,gpt-4,chat,a,-0.0020779325,,b,,-0.015132077
86,Sports & Fitness,575,153,gpt-4,chat,b,,-0.00048608426,b,,-0.0001624188
38,Healthcare & Medicine,559,154,gpt-4,chat,a,-0.59831184,-0.87956184,b,,-0.016036833
44,History & Archaeology,202,155,gpt-4,chat,a,-0.027585682,,b,,-0.046157315
72,Psychology & Sociology,443,156,gpt-4,chat,a,-0.005616485,,b,-1.6568451,-0.29167932
78,Science & Technology,219,157,gpt-4,chat,a,-0.0018487935,,a,-0.00070218404,
50,Hobbies & Leisure,499,158,gpt-4,chat,a,-0.00013822412,,b,,-0.08717275
35,Food & Culinary,503,159,gpt-4,chat,b,,-0.04231427,b,,-0.0022669474
77,Science & Technology,694,160,gpt-4,chat,a,-0.0056590484,,a,-0.93337065,
72,Psychology & Sociology,449,161,gpt-4,chat,a,-0.006630813,,b,,-0.024556449
1,Art & Design,242,162,gpt-4,chat,a,-0.0007727013,,a,-0.0006769312,
25,Entertainment,615,163,gpt-4,chat,a,-0.0002912486,,a,-0.004602315,
55,Law & Legal Issues,47,164,gpt-4,chat,a,-0.00016873659,,a,-0.0001008015,
73,Science & Technology,253,165,gpt-4,chat,a,-0.0011222378,,a,-0.014342137,
50,Hobbies & Leisure,557,166,gpt-4,chat,a,-0.008097716,,b,,-0.06857293
81,Social Issues & Ethics,70,167,gpt-4,chat,a,-0.0029300377,,b,,-0.0010507925
32,Food & Culinary,95,168,gpt-4,chat,b,,-0.10662609,b,,-0.0014542824
17,Education & Learning,236,169,gpt-4,chat,a,-0.0001594387,,a,-0.00011498674,
8,Business & Finance,442,170,gpt-4,chat,a,-0.0015249758,,a,-0.015821783,
46,History & Archaeology,363,171,gpt-4,chat,a,-0.0047258376,,a,-0.014019174,-4.699505
88,Sports & Fitness,639,172,gpt-4,chat,a,-0.030437121,,b,,-0.00052813016
3,Art & Design,396,173,gpt-4,chat,a,-0.000102708764,,b,,-0.000184587
86,Sports & Fitness,532,174,gpt-4,chat,a,-0.08326266,,b,,-0.004775907
58,Philosophy & Religion,34,175,gpt-4,chat,a,-0.00028708015,,a,-0.008863449,-4.9475327
51,Hobbies & Leisure,158,176,gpt-4,chat,b,,-0.030289222,b,,-0.0092296805
58,Philosophy & Religion,282,177,gpt-4,chat,a,-0.0003607297,,a,-0.0010906854,
42,History & Archaeology,248,178,gpt-4,chat,a,-0.0014460684,,b,-1.5820359,-0.2329034
73,Science & Technology,136,179,gpt-4,chat,b,,-0.05719728,b,-9.250096,-9.615256e-05
69,Psychology & Sociology,468,180,gpt-4,chat,a,-0.00053873565,,a,-0.0010372143,
80,Social Issues & Ethics,392,181,gpt-4,chat,a,-0.000225947,,a,-0.022882959,
17,Education & Learning,410,182,gpt-4,chat,a,-0.00012380048,,a,-7.922564e-05,
51,Hobbies & Leisure,533,183,gpt-4,chat,a,-0.05947051,,b,,-0.0014843896
24,Entertainment,204,184,gpt-4,chat,b,,-0.12900722,b,,-0.0006613265
39,Healthcare & Medicine,279,185,gpt-4,chat,a,-0.0013192851,,b,-5.0172606,-0.0131939985
40,Healthcare & Medicine,381,186,gpt-4,chat,a,-0.028528152,,a,-0.0016432846,
19,Education & Learning,86,187,gpt-4,chat,a,-0.0001752928,,a,-0.00036239854,
82,Social Issues & Ethics,65,188,gpt-4,chat,a,-0.0005803157,,a,-0.000599977,
46,History & Archaeology,437,189,gpt-4,chat,b,-5.37962,-0.0046202415,a,-0.0024590103,
18,Education & Learning,41,190,gpt-4,chat,a,-0.0014723646,,b,,-0.0058665783
15,Careers & Employment,137,191,gpt-4,chat,a,-0.00025692896,,a,-0.0001503829,
46,History & Archaeology,350,192,gpt-4,chat,a,-0.0121246185,,a,-0.0008083212,
8,Business & Finance,686,193,gpt-4,chat,a,-0.004710888,,b,,-0.016104288
19,Education & Learning,98,194,gpt-4,chat,a,-0.009243723,,a,-0.08766788,-2.5896325
7,Business & Finance,428,195,gpt-4,chat,a,-0.00013619766,,a,-0.0031262634,
66,Politics & Governance,490,196,gpt-4,chat,a,-0.0031773564,,b,,-0.007265371
16,Education & Learning,268,197,gpt-4,chat,a,-5.6338537e-05,,a,-1.867018e-05,
45,History & Archaeology,35,198,gpt-4,chat,b,,-0.002837919,b,,-0.0011879685
22,Entertainment,145,199,gpt-4,chat,b,,-0.0020293964,b,,-0.00027885512
1,Art & Design,512,200,gpt-4,chat,a,-0.008859549,,b,,-0.00029601678
70,Psychology & Sociology,271,201,gpt-4,chat,b,-0.8663139,-0.5908908,b,,-0.4376359
14,Careers & Employment,458,202,gpt-4,chat,a,-0.0001439459,,a,-7.255024e-05,
62,Politics & Governance,156,203,gpt-4,chat,a,-0.00020306357,,a,-0.00032676398,
43,History & Archaeology,152,204,gpt-4,chat,b,-1.4880403,-0.28667775,b,,-0.19428048
52,Law & Legal Issues,328,205,gpt-4,chat,a,-0.0012686859,,a,-0.00070016494,
61,Philosophy & Religion,634,206,gpt-4,chat,a,-0.43455282,,a,-0.8598785,
63,Politics & Governance,281,207,gpt-4,chat,a,-4.3202e-07,-15.0,a,-0.001349165,
25,Entertainment,112,208,gpt-4,chat,a,-0.000756739,,a,-0.00046439286,
70,Psychology & Sociology,109,209,gpt-4,chat,a,-0.2554627,-1.6773376,b,,-0.045079034
46,History & Archaeology,39,210,gpt-4,chat,a,-0.0042986074,,b,,-0.09727163
20,Education & Learning,226,211,gpt-4,chat,a,-0.00012964146,,a,-0.0016267409,
14,Careers & Employment,139,212,gpt-4,chat,a,-0.00017970333,,a,-0.00010592726,
87,Sports & Fitness,570,213,gpt-4,chat,a,-0.0002843385,,a,-0.0006127171,
7,Business & Finance,596,214,gpt-4,chat,a,-0.00123618,,a,-0.0080989,
64,Politics & Governance,562,215,gpt-4,chat,a,-0.009407306,,b,,-0.071254544
82,Social Issues & Ethics,399,216,gpt-4,chat,a,-0.008396248,,b,,-0.1597728
63,Politics & Governance,661,217,gpt-4,chat,a,-0.00025275684,,a,-0.00057543203,
41,History & Archaeology,231,218,gpt-4,chat,a,-0.0028924902,,a,-0.12756683,
60,Philosophy & Religion,489,219,gpt-4,chat,a,-0.028097888,-4.126628,a,-0.0021791696,
8,Business & Finance,351,220,gpt-4,chat,a,-0.0060231257,,b,,-0.0017419357
89,Travel & Tourism,236,221,gpt-4,chat,a,-0.11131441,,b,,-0.0041230423
68,Psychology & Sociology,73,222,gpt-4,chat,a,-0.0077825272,,b,,-0.0026516328
32,Food & Culinary,329,223,gpt-4,chat,a,-0.0013461848,,a,-0.5289811,-1.1417512
21,Entertainment,14,224,gpt-4,chat,a,-0.0013663082,,a,-0.08936536,
90,Travel & Tourism,279,225,gpt-4,chat,b,,-0.0017865638,b,,-0.0006160548
39,Healthcare & Medicine,320,226,gpt-4,chat,a,-0.23199531,,b,,-0.33913198
34,Food & Culinary,648,227,gpt-4,chat,a,-0.02673958,,a,-0.67971385,-0.9480511
93,Travel & Tourism,366,228,gpt-4,chat,a,-0.018102415,,a,-0.008623082,
51,Hobbies & Leisure,63,229,gpt-4,chat,a,-0.116694145,,a,-0.022344276,-4.4967856
80,Social Issues & Ethics,381,230,gpt-4,chat,a,-0.0018746204,,b,,-0.01050168
48,Hobbies & Leisure,65,231,gpt-4,chat,a,-0.00035107418,,a,-0.04774182,
11,Careers & Employment,472,232,gpt-4,chat,a,-0.000107238506,,a,-0.00031532408,
77,Science & Technology,88,233,gpt-4,chat,a,-0.004342172,,a,-0.00031973462,
26,Fashion & Beauty,446,234,gpt-4,chat,a,-0.007297455,-5.1022224,b,,-0.0017247996
4,Art & Design,165,235,gpt-4,chat,a,-3.2497806e-05,,a,-0.0004243588,
35,Food & Culinary,430,236,gpt-4,chat,a,-0.07252934,,b,,-0.010556299
3,Art & Design,247,237,gpt-4,chat,a,-0.0033489398,,a,-0.002458176,
9,Business & Finance,255,238,gpt-4,chat,b,,-0.014044915,b,,-0.080222026
23,Entertainment,116,239,gpt-4,chat,a,-0.02930964,,b,,-0.00069456233
41,History & Archaeology,587,240,gpt-4,chat,a,-0.0008938324,,a,-0.026003122,
61,Philosophy & Religion,499,241,gpt-4,chat,a,-0.020914955,,a,-0.074878156,
24,Entertainment,260,242,gpt-4,chat,b,,-0.040927906,b,,-0.532909
59,Philosophy & Religion,631,243,gpt-4,chat,a,-0.00036585543,,b,,-0.047175456
62,Politics & Governance,570,244,gpt-4,chat,a,-0.00032688316,,a,-0.010632845,
69,Psychology & Sociology,397,245,gpt-4,chat,b,,-0.009570144,b,,-0.0006612073
81,Social Issues & Ethics,291,246,gpt-4,chat,a,-0.030614259,,b,,-0.003798773
74,Science & Technology,68,247,gpt-4,chat,b,-0.82153213,-0.60618865,b,,-0.0071969624
83,Social Issues & Ethics,221,248,gpt-4,chat,b,-0.892382,-0.5490402,b,,-0.01049519
40,Healthcare & Medicine,551,249,gpt-4,chat,a,-0.04746061,,a,-0.0012065422,
93,Travel & Tourism,10,250,gpt-4,chat,a,-0.00034928982,,a,-0.0009963678,
43,History & Archaeology,421,251,gpt-4,chat,a,-0.0063823373,,b,,-0.0061092665
52,Law & Legal Issues,534,252,gpt-4,chat,a,-0.0020066726,,a,-2.4391957e-05,
67,Psychology & Sociology,117,253,gpt-4,chat,a,-0.04290715,,b,,-0.007707181
92,Travel & Tourism,578,254,gpt-4,chat,b,,-0.0023151187,b,,-0.016444638
66,Politics & Governance,200,255,gpt-4,chat,a,-0.01441958,,b,,-0.04049332
50,Hobbies & Leisure,66,256,gpt-4,chat,a,-0.000517886,,a,-0.006274775,
12,Careers & Employment,659,257,gpt-4,chat,a,-9.9371064e-05,,a,-2.9160103e-05,
16,Education & Learning,641,258,gpt-4,chat,a,-0.0025517656,,a,-0.0013974993,
59,Philosophy & Religion,566,259,gpt-4,chat,a,-0.0015560439,,b,,-0.002591708
74,Science & Technology,362,260,gpt-4,chat,a,-0.00029601678,,a,-0.00056685304,
22,Entertainment,68,261,gpt-4,chat,b,,-0.0034231893,b,,-0.00070992863
23,Entertainment,95,262,gpt-4,chat,b,,-0.0019687198,b,-5.487987,-0.005351636
21,Entertainment,135,263,gpt-4,chat,a,-0.010200946,,a,-0.73573524,
29,Fashion & Beauty,374,264,gpt-4,chat,a,-0.011788076,,b,-1.9695413,-0.18690273
27,Fashion & Beauty,309,265,gpt-4,chat,a,-0.06613339,-2.8872051,a,-0.03748922,
20,Education & Learning,268,266,gpt-4,chat,a,-4.477578e-05,,a,-5.8484206e-05,
75,Science & Technology,274,267,gpt-4,chat,b,-3.51898,-0.037679587,b,,-0.009503898
86,Sports & Fitness,58,268,gpt-4,chat,b,,-0.023504365,b,,-0.0005583932
74,Science & Technology,197,269,gpt-4,chat,a,-0.0026443833,,a,-0.00055422477,
68,Psychology & Sociology,500,270,gpt-4,chat,a,-0.0021146932,,a,-0.0102846,
92,Travel & Tourism,108,271,gpt-4,chat,a,-0.017108472,,b,,-0.0055452436
31,Food & Culinary,283,272,gpt-4,chat,a,-0.0018163134,,b,,-0.25486612
78,Science & Technology,109,273,gpt-4,chat,b,-1.9092402,-0.1730457,a,-0.006335661,
29,Fashion & Beauty,157,274,gpt-4,chat,b,,-0.81032956,b,,-0.022541275
44,History & Archaeology,12,275,gpt-4,chat,a,-3.529751,,a,-0.0015490218,
55,Law & Legal Issues,509,276,gpt-4,chat,a,-0.0024112079,,a,-0.00027957035,
18,Education & Learning,224,277,gpt-4,chat,a,-0.0017632401,,b,,-0.0026968163
20,Education & Learning,294,278,gpt-4,chat,a,-0.00039885283,,a,-0.0019505366,
60,Philosophy & Religion,288,279,gpt-4,chat,a,-0.002730575,,a,-0.014283736,
73,Science & Technology,269,280,gpt-4,chat,a,-1.0802739e-05,,a,-0.00046069757,
31,Food & Culinary,172,281,gpt-4,chat,a,-0.0023459191,,b,,-0.002100418
83,Social Issues & Ethics,539,282,gpt-4,chat,a,-0.24180362,,a,-0.017143512,
76,Science & Technology,584,283,gpt-4,chat,a,-0.00053265993,,a,-0.025795529,
12,Careers & Employment,463,284,gpt-4,chat,a,-9.770221e-05,,a,-0.0012092802,
84,Sports & Fitness,174,285,gpt-4,chat,a,-8.697388e-05,,a,-4.990154e-05,
7,Business & Finance,558,286,gpt-4,chat,b,,-0.2879546,a,-0.0029735414,
30,Fashion & Beauty,158,287,gpt-4,chat,a,-0.00018816312,,a,-0.00060188427,
67,Psychology & Sociology,455,288,gpt-4,chat,a,-0.0076779653,,a,-0.01440771,
89,Travel & Tourism,622,289,gpt-4,chat,a,-0.033389777,,a,-0.0021209961,
10,Business & Finance,87,290,gpt-4,chat,a,-0.0046681687,-5.814147,b,-2.1989086,-0.12688337
88,Sports & Fitness,467,291,gpt-4,chat,b,,-0.04421776,b,,-0.002098753
64,Politics & Governance,130,292,gpt-4,chat,a,-0.0006127171,,a,-0.00041529932,
27,Fashion & Beauty,474,293,gpt-4,chat,a,-0.011119742,,a,-0.008537628,
12,Careers & Employment,477,294,gpt-4,chat,a,-0.00072124926,,a,0.0,-16.9375
12,Careers & Employment,460,295,gpt-4,chat,a,-8.43514e-05,,a,-4.9305523e-05,
38,Healthcare & Medicine,295,296,gpt-4,chat,a,-0.16777071,-1.8894314,b,,-0.10737181
54,Law & Legal Issues,421,297,gpt-4,chat,a,-0.00011534435,,a,-0.00052574975,
8,Business & Finance,225,298,gpt-4,chat,a,-0.0015084356,,a,-0.010686626,
61,Philosophy & Religion,74,299,gpt-4,chat,a,-0.3846718,,b,,-0.29060853
65,Politics & Governance,442,300,gpt-4,chat,a,-0.00063416274,,a,-0.0012315384,
